// Esta data se creo copiando la sección "Points" en:
// ..\Informacion\Garmis City Select North America Elements.txt
//
// y se usó el remplazo usando Expresiones Regulares en Visual Estudio
// con los siguentes parámetros:
//   Find what: :Zs+{0x:h} {.*}:Zs+:z:Zs+:z:Zs+:z:Zs+:z\n
//   Replace with: \1,\2\n
//
// Formato: Tipo (rango:Tipo-Tipo), Descripción.
0x0200,City (5-10M)                               
0x0300,City (2-5M)                                
0x0400,City (1-2M)                                
0x0500,City (0.5-1M)                             
0x0600,City (200-500K)                           
0x0700,City (100-200K)                          
0x0800,City (50-100K)                           
0x0900,City (20-50K)                           
0x0a00,Town (10-20K)                           
0x0b00,Town (5-10K)                            
0x0c00,Town (2-5K)                            
0x0d00,Town (1-2K)                           
0x2800,Region, Small (No Point)                
0x2a00,Food & Drink                           
0x2a01,Food & Drink, American                 
0x2a02,Food & Drink, Asian                    
0x2a03,Food & Drink, Barbeque                  
0x2a04,Food & Drink, Chinese                  
0x2a05,Food & Drink, Deli/Bakery              
0x2a06,Food & Drink, International            
0x2a07,Food & Drink, Fast Food                
0x2a08,Food & Drink, Italian                  
0x2a09,Food & Drink, Mexican                  
0x2a0a,Food & Drink, Pizza                        
0x2a0b,Food & Drink, Seafood                   
0x2a0c,Food & Drink, Steak/Grill              
0x2a0d,Food & Drink, Bagel/Doughnut               
0x2a0e,Food & Drink, Cafe/Diner               
0x2a0f,Food & Drink, French                    
0x2a10,Food & Drink, German                     
0x2a11,Food & Drink, British Isles             
0x2a12,Food & Drink, Specialty                
0x2b00,Lodging                                    
0x2b01,Lodging, Hotel/Motel                   
0x2b02,Lodging, Bed & Breakfast/Inn               
0x2b03,Lodging, Campground/RV Park            
0x2b04,Lodging, Resort                            
0x2c00,Attraction                               
0x2c01,Recreation, Amusement/Theme Park         
0x2c02,Attraction, Museum/Historical          
0x2c03,Community, Library                     
0x2c04,Attraction, Landmark                   
0x2c05,Community, School                     
0x2c06,Attraction, Park/Garden                
0x2c07,Attraction, Zoo/Aquarium                   
0x2c08,Recreation, Arena/Track                 
0x2c09,Attraction, Hall/Auditorium             
0x2c0a,Attraction, Winery                      
0x2c0b,Community, Place of Worship           
0x2d00,Entertainment                              
0x2d01,Entertainment, Live Theater             
0x2d02,Entertainment, Bar/Nightclub           
0x2d03,Entertainment, Cinema                   
0x2d04,Entertainment, Casino                    
0x2d05,Entertainment, Golf Course             
0x2d06,Recreation, Skiing Center/Resort         
0x2d07,Entertainment, Bowling                  
0x2d09,Entertainment, Swimming Pool               
0x2d0a,Entertainment, Sports/Fitness Center   
0x2d0b,Entertainment, Sport Airport               
0x2e00,Shopping                                  
0x2e01,Shopping, Department Store              
0x2e02,Shopping, Grocery Store                
0x2e03,Shopping, General Merchandise          
0x2e04,Shopping Center                         
0x2e05,Shopping, Pharmacy                     
0x2e06,Shopping, Convenience Store            
0x2e07,Shopping, Apparel                     
0x2e08,Shopping, Home and Garden             
0x2e09,Shopping, Home Furnishings            
0x2e0a,Shopping, Specialty Retail            
0x2e0b,Shopping, Computer/Software            
0x2f00,Service                                
0x2f01,Service, Auto Fuel                    
0x2f02,Service, Auto Rental                   
0x2f03,Service, Auto Repair                  
0x2f04,Service, Air Transportation             
0x2f05,Service, Post Office                   
0x2f06,Service, Bank/ATM                     
0x2f07,Service, Dealer/Auto Parts            
0x2f08,Service, Ground Transportation          
0x2f09,Service, Marina/Boat Repair            
0x2f0a,Service, Wrecker                       
0x2f0b,Service, Parking                        
0x2f0c,Service, Rest Area/Information          
0x2f0d,Service, Auto Club                       
0x2f0e,Service, Car Wash                      
0x2f0f,Service, Garmin Dealer                  
0x2f10,Service, Personal                     
0x2f11,Service, Business                     
0x2f12,Service, Communication                 
0x2f13,Service, Repair                       
0x2f14,Service, Social                       
0x2f15,Service, Public Utility                
0x2f16,Service, Truck Stop                      
0x2f17,Service, Transit Service               
0x3000,Emergency/Government                       
0x3001,Community, Police Station               
0x3002,Hospital                                
0x3003,Community, City Hall                    
0x3004,Community, Court House                  
0x3005,Community, Community Center             
0x3006,Community, Border Crossing               
0x3007,Goverentment, Office                   
0x3008,Fire Department                        
0x5901,Airport, Large                             
0x5902,Airport, Medium                            
0x5903,Airport, Small                             
