// Esta data se creo copiando la información del manual PDF del
// usuario de cGPSmapper v2.4,sección 11.3.2,pag. 93-95.
//
// La información fue copiada como texto a este archivo y se usó
// el remplazo usando Expresiones Regulares en Visual Estudio
// con los siguentes parámetros:
//
//   Find what: N {.*} :z {.*}\n
//   Replace with: \1,Gray,1,\2\n
//
// Luego se cambió manualmente el color de cada polígono. Los
// colores tiene que ser de la lista:
// http://msdn2.microsoft.com/en-us/library/system.drawing.knowncolor.aspx
// Si el color no existe entonces se usa el color Negro. 
//
// El tipo 0x00 se usa como tipo por defecto.
//
// Formato: Tipo,Color,Ancho,Descripción.
0x00,Gray,1,
0x01,Green,6,Major Highway-thick
0x02,Red,4,Principal Highway-thick
0x03,Chocolate,1,Principal Highway-medium
0x04,Red,2,Arterial Road–medium
0x05,Black,2,Arterial Road-thick
0x06,Gray,1,Road-thin
0x07,Gray,3,Alley-thick
0x08,Gray,3,Ramp
0x09,Gray,3,Ramp
0x0a,Brown,1,Unpaved Road-thin
0x0b,Gray,4,Major Highway Connector-thick
0x0c,Gray,1,Roundabout
0x14,Gray,2,Railroad
0x15,Gray,1,Shoreline
0x16,Gray,1,Track/Trail
0x18,Gray,1,Stream-thin
0x19,Yellow,2,Time-Zone
0x1a,Cyan,1,Ferry
0x1b,Cyan,1,Ferry
0x1c,Goldenrod,3,Political Boundary
0x1d,Gray,1,County Boundary
0x1e,Gray,1,International Boundary
0x1f,Blue,1,River
0x20,Gray,1,Land Contour (thin)
0x21,Gray,1,Land Contour (medium)
0x22,Gray,1,Land Contour (thick)
0x23,Cyan,1,Depth Contour (thin)
0x24,Cyan,1,Depth Contour (medium)
0x25,Cyan,1,Depth Contour (thick)
0x26,Blue,1,Intermittent River
0x27,Gray,5,Airport Runway
0x28,Black,2,Pipeline
0x29,Gray,1,Power line
0x2a,Gray,1,Marine Boundary (no line)
0x2b,Gray,1,Marine Hazard (no line)
