//
// Esta lista se usa para corregigir palabras en los nombres de 
// PDIs según el tipo.
//
// Formato: Tipo (rango:Tipo-Tipo),PosiblesPalabras(separados por '|'),Palabra Final
0x2a00-0x2a11,RES|REST|RESTAURANT|RESTARUANT|RESTAUANT|RESTAURAN|RESTORANT|RESTORANTES|RESTAURANTES,RESTAURANTE
0x2a00-0x2a11,WENDYS,WENDY´S
0x2a00-0x2a11,MAC DONALDS|MCDONALD|MCDONALDS|MC DONALDS|MC DONALD|MCDONALD´S|MACDONALD|MAC DONALD'S|MC DONALD'S|MC DONALD´S|MC'DONALS|MC DONALD´S,MCDONALD'S
0x2b03,CAMP,CAMPAMENTO
0x2e02,ABASTO,ABASTOS
0x2f06,BCO,BANCO
0x2f06,CORP BANCA,CORPBANCA
0x2f06,BANCO DEL CARIBE,BANCARIBE
0x2f17,ALC|ALCAB|ALCABA|ALCABABALA|ALCABAL,ALCABALA
0x6402,RES|RESD|RESID,RESIDENCIAS
0x6402,CONJ,CONJUNTO
0x6402,CONJRESIDENCIAS|CONJUNTO RESIDENCIAS,CONJUNTO RESIDENCIAL
0x6402,EDF|EDIF|EDFICIO,EDIFICIO
0x2c05,PRESCOLAR|PRE-ESCOLAR|PRE ESCOLAR,PREESCOLAR
0x6410,PRESCOLAR|PRE-ESCOLAR|PRE ESCOLAR,PREESCOLAR
0x2c05,UNIDAD EDUCATIVA,UE
0x6410,UNIDAD EDUCATIVA,UE
0x2c05,ESCUELA BASICA,EB
0x6410,ESCUELA BASICA,EB
0x6411,ANTENNA,ANTENA
0x6402,ASO,ASOCIACION
0x2e04,CC,CENTRO COMERCIAL
0x3007,DIEX,ONIDEX
0x2c08,ESTADIUM,ESTADIO
0x2e05,FCIA,FARMACIA
0x6402,FDO,FUNDO
0x6404,IGELSIA|IGLASIA|IGLECIA,IGLESIA
0x6411,INTERCABLE,INTER
0x2d02,LIC,LICORERIA
0x6401,PTE,PUENTE
0x3005,URB,URBANIZACION
