//
// Esta lista se usa para corregigir palabras en los nombres de 
// cualquier cosa poniendole la Ñ segun la version 3.1
//
// PosiblesPalabras(separados por '|'),Palabra Final
ABASTO LA ROQUENITA|ABASTO LA ROQUEÑITA
ABASTOS MARTINEZ MUNOZ|ABASTOS MARTINEZ MUÑOZ
AEROPUERTO SANTIAGO MARINO|AEROPUERTO SANTIAGO MARIÑO
AEROTRANSPORTE LA MONTANA|AEROTRANSPORTE LA MONTAÑA
AGROISLENA|AGROISLEÑA
ALC GN URENA|ALC GN UREÑA
ALCADIA PENALVER|ALCADIA PEÑALVER
ALCALDIA MUNICIPIO MARIO BRICENO IRAGORRY|ALCALDIA MUNICIPIO MARIO BRICEÑO IRAGORRY
ALTOS NO MARTIN|ALTOS ÑO MARTIN
AMBULATORIO DE LA PENITA|AMBULATORIO DE LA PEÑITA
AMBULATORIOM KARINA|AMBULATORIOM KARIÑA
ARBOL ACEITE ANOSO|ARBOL ACEITE AÑOSO
AREA DE JUEGOS PARA NINOS|AREA DE JUEGOS PARA NIÑOS
AREA ESQUI Y BANO|AREA ESQUI Y BAÑO
ASERRADERO BEGONA|ASERRADERO BEGOÑA
ATM BANCO DE VENEZUELA (POLICLINICA LA VINA)|ATM BANCO DE VENEZUELA (POLICLINICA LA VIÑA)
BAHIA LOS NINOS|BAHIA LOS NIÑOS
BANADOR PALITAL|BAÑADOR PALITAL
BANOS|BAÑOS
BANOS PÚBLICOS|BAÑOS PÚBLICOS
BI 231 SANTIAGO MARINO|BI 231 SANTIAGO MARIÑO
BODEGA SENORITA|BODEGA SEÑORITA
BODEGÓN CHICHIKANA|BODEGÓN CHICHIKAÑA
BOULEVAR GUAL Y ESPANA|BOULEVAR GUAL Y ESPAÑA
BPF LOS BANOS|BPF LOS BAÑOS
CABANA ABANDONADA|CABAÑA ABANDONADA
CABANA AMOR EN LA NEBLINA|CABAÑA AMOR EN LA NEBLINA
CABANA CASA DE CONY|CABAÑA CASA DE CONY
CABANA LA BOTIJA|CABAÑA LA BOTIJA
CABANA SIERRA LA CULATA|CABAÑA SIERRA LA CULATA
CABANAS|CABAÑAS
CABANAS ALTO VIENTO|CABAÑAS ALTO VIENTO
CABANAS BOUGAINVILLEA|CABAÑAS BOUGAINVILLEA
CABANAS DE ELSY|CABAÑAS DE ELSY
CABANAS DE PIEDRA|CABAÑAS DE PIEDRA
CABANAS EL CORONEL|CABAÑAS EL CORONEL
