//
// Esta lista contiene las descripciones de los PDIs según su Tipo.
//
// La data se creó de la información en "http://cricri-blog.blogspot.com/2006/06/code-objets-garmin-poi.html"
// y fue manualmente editada y ampliada por JoséH (www.gpsyv.net).
//
// Formato: Tipo (rango:Tipo-Tipo), Descripción.
// AGUA
0x6500,Water feature/Objeto Hidrografico
0x6501,Arroyo/Arroyo seco
0x6502,Sand bar/Banco de arena
0x6503,Bay/Bahia
0x6504,Bend/Curva de rio
0x6505,Cana/Canal Artificial
0x6506,Channel/Canal
0x6507,Cove/Ensenada
0x6508,Falls/Cataratas
0x6509,Geyser/Geiser
0x650a,Glacier/Glaciar
0x650b,Harbor/Puerto
0x650c,Island/Isla
0x650d,Lake/Lago
0x650e,Rapids/Rapidos
0x650f,Reservoir/Reservorio
0x6510,Sea/Mar
0x6511,Spring/Manantial
0x6512,Stream/Arroyo
0x6513,Swamp/Pantano
// ATRACCIONES
0x2c00,Attraction/Atraccion
0x2c01,Amusement/Theme park/Parque de diversiones
0x2c02,Museum/History/Museo/Historia
0x2c03,Library/Biblioteca
0x2c04,Landmark/Monumento
0x2c06,Park/Garden/Parque Jardin
0x2c07,Zoo/Aquarium/Zoologico/Acuario
0x2c08,Arena/Track/Arena/Pista
0x2c09,Hall/Auditorium/Salon/Auditorio
0x2c0a,Winery/Vineria
// AUTO
0x2f01,Auto fuel/Estacion de servicio
0x2f02,Auto rental/Alquiler de autos
0x2f03,Auto repair/Taller mecanico
0x2f07,Dealer/Auto parts/Autopartista/repuestos
0x2f0b,Parking/Estacionamiento
0x2f0d,Automobile club/Automovil Club
0x2f0e,Car wash/Auto lavado
0x2f16,Truck stop/Parada de camiones
// CIUDADES
0x100,Large city (over 10M)/Ciudad grande mayor 10M
0x200,Large city (5-10M))/Ciudad Grande 5-10M
0x300,Large city (2-5M)/Ciudad Grande 2-5M
0x400,Large city (1-2M))/Ciudad Grande 1-2M
0x500,Medium city (0.5-1M)/Ciudad Media 0.5-1M
0x600,Medium city (200-500K)/Ciudad Media 200-500K
0x700,Medium city (100-200K))/Ciudad Media 100-200K
0x800,Small city (50-100K)/
0x900,Small city (20-50K)/
0xa00,Small city/town (10-20K)/
0xb00,Small city/town (5-10K)/
0xc00,Settlement (2-5K)/
0xd00,Settlement (1-2K)/
0Xe00,Settlement (500-1K)/
0xf00,Settlement (200-500)/
0x1000,Settlement (100-200)/
0x1100,Settlement (less 100)/
// COMIDA
0x2a00,Dining/Comida
0x2a01,Dining (American)/Comida Americana
0x2a02,Dining (Asian)/Comida Asiatica
0x2a03,Dining (barbecue)/Comida Parrilla
0x2a04,Dining (Chinese)/Comida China
0x2a05,Dining (Deli/Bakery)/Comida Panaderia
0x2a06,Dining (international)/Comida Internacional
0x2a07,Fast food/Comida Rapida
0x2a08,Dining (Italian)/Comida Italiana
0x2a09,Dining (Mexican)/Comida Mexicana
0x2a0a,Dining (pizza)/Comida Pizzas
0x2a0b,Dining (sea food)/Comida del Mar
0x2a0c,Dining (steak/grill)/Comida Carne/Parrilla
